path,label
tms-data/train/septoria-leafspot/BK1.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK10.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK11.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK12.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK13.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK14.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK15.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK16.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK17.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK18.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK19.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK2.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK20.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK21.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK22.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK23.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK24.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK25.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK26.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK27.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK28.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK29.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK3.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK30.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK4.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK5.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK6.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK7.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK8.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/BK9.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_142931.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_142946.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_142957.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_175528.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_181630.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_181651.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_181745.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182220.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182245.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182312.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182340.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182350.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182407.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182428.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182806.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_182955.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220910_183042.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_062243.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_062304.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_062328.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064056.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064101.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064141.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064423.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064427.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064436.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064443.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064508.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064518.jpg,septoria-leafspot
tms-data/train/septoria-leafspot/IMG_20220911_064528.jpg,septoria-leafspot
